Country,Year,Waste_incinerate_energy_recovery
Sweden,2010,84.718
Sweden,2012,105.011
Sweden,2014,71.417
Sweden,2016,151.996
Sweden,2018,167.767
Sweden,2020,131.853
United Kingdom,2010,0
United Kingdom,2012,0
United Kingdom,2014,0
United Kingdom,2016,0
United Kingdom,2018,0
Italy,2010,12.034
Italy,2012,44.405
Italy,2014,87.578
Italy,2016,97.201
Italy,2018,82.434
Italy,2020,101.924
Denmark,2010,1.275
Denmark,2012,5.31
Denmark,2014,3.514
Denmark,2016,2.357
Denmark,2018,5.486
Denmark,2020,11.136
Germany,2010,304.122
Germany,2012,435.955
Germany,2014,505.751
Germany,2016,488.25
Germany,2018,523.953
Germany,2020,564.898
USA,2010,4109.54805
USA,2012,4554.0687
USA,2014,4535.925
USA,2016,4844.3679
USA,2018,5098.3797